Chapter,Title,Role,Name,Institution,Citizenship,Affiliation Country
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Coordinating Lead Author,Karen Seto,Yale University,United States,United States
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Coordinating Lead Author,Shobhakar Dhakal,Asian Institute of Technology,Nepal,Thailand
,,,,,,
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Lead Author,Anthony Bigio,George Washington University,Italy,United States
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Lead Author,Hilda Blanco,University of Southern California,United States,United States
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Lead Author,Gian Carlo Delgado,,Mexico,Mexico
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Lead Author,David Dewar,University of Cape Town,South Africa,South Africa
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Lead Author,Luxin Huang,China Academy of Urban Planning and Design (CAUPD),China,China
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Lead Author,Atsushi Inaba,Kogakuin University,Japan,Japan
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Lead Author,Arun Kansal,TERI University,India,India
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Lead Author,Shuaib Lwasa,Makerere University,Uganda,Uganda
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Lead Author,James McMahon,Lawrence Berkeley National Laboratory,United States,United States
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Lead Author,Daniel Mueller,Norwegian University of Science and Technology,Switzerland,Norway
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Lead Author,Jin Murakami,"City University of Hong Kong, HKSAR",Japan,China
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Lead Author,Harini Nagendra,Ashoka Trust for Research in Ecology and the Environment (ATREE),India,India
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Lead Author,Anu (Anuradha) Ramaswami,University of Minnesota (UMN),United States,United States
,,,,,,
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Review Editor,Robert Cervero,"University of California, Berkeley",United States,United States
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Review Editor,Julio Torres Martinez,CUBASOLAR,Cuba,Cuba
,,,,,,
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Contributing Author,Antonio Bento,,Portugal,
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Contributing Author,Michele Merrill Betsill,,United States,
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Contributing Author,Harriet Bulkeley,,United Kingdom,
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Contributing Author,Peter Christensen,,United States,
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Contributing Author,Abél Chávez,,United States,
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Contributing Author,Felix Creutzig,,Germany,
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Contributing Author,Michail Fragkias,,Greece,
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Contributing Author,Burak Güneralp,,Turkey,
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Contributing Author,Leiwen Jiang,,China,
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Contributing Author,Peter J. Marcotullio,,United States,
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Contributing Author,David McCollum,,United States,
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Contributing Author,Adam Millard-Ball,,United States,
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Contributing Author,Peter Paul Pichler,,Germany,
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Contributing Author,Serge Salat,,France,
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Contributing Author,Cecilia Tacoli,,Italy,
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Contributing Author,Helga Weisz,,Germany,
Chapter 12,"Human Settlements, Infrastructure and Spatial Planning",Contributing Author,Timm Zwickel,,Germany,
