Chapter,Title,Role,Name,Institution,Country
Chapter 3,Observations: Ocean,Coordinating Lead Author,Monika Rhein,University of Bremen,Germany
Chapter 3,Observations: Ocean,Coordinating Lead Author,Stephen R.Rintoul,Commonwealth Scientific and Industrial Research Organisation,Australia
,,,,,
Chapter 3,Observations: Ocean,Lead Author,Shigeru Aoki,Hokkaido University,Japan
Chapter 3,Observations: Ocean,Lead Author,Edmo Campos,University of Sao Paulo,Brazil
Chapter 3,Observations: Ocean,Lead Author,Don Chambers,University of South Florida,USA
Chapter 3,Observations: Ocean,Lead Author,Richard A. Feely,National Oceanic and Atmospheric Administration,USA
Chapter 3,Observations: Ocean,Lead Author,Sergey Gulev,P.P. Shirshov Institute of Oceanology,Russian Federation
Chapter 3,Observations: Ocean,Lead Author,Gregory C. Johnson,National Oceanic and Atmospheric Administration,USA
Chapter 3,Observations: Ocean,Lead Author,Simon A. Josey,National Oceanography Centre,UK
Chapter 3,Observations: Ocean,Lead Author,Andrey Kostianoy,P.P. Shirshov Institute of Oceanology,Russian Federation
Chapter 3,Observations: Ocean,Lead Author,Cecilie Mauritzen,Center for International Climate and Environmental Research Oslo,Norway
Chapter 3,Observations: Ocean,Lead Author,Dean Roemmich,Scripps Institution of Oceanography,USA
Chapter 3,Observations: Ocean,Lead Author,Lynne D. Talley,Scripps Institution of Oceanography,USA
Chapter 3,Observations: Ocean,Lead Author,Fan Wang,Chinese Academy of Sciences,China
,,,,,
Chapter 3,Observations: Ocean,Review Editor,Howard Freeland,Fisheries and Oceans Canada,Canada
Chapter 3,Observations: Ocean,Review Editor,Yukihiro Nojiri,National Institute for Environmental Studies,Japan
Chapter 3,Observations: Ocean,Review Editor,Silvia Garzoli,"National Oceanic and Atmospheric Administration, Atlantic Oceanographic and Meteorological Laboratory",USA
,,,,,
Chapter 3,Observations: Ocean,Contributing Author,Ian Allison,,Australia
Chapter 3,Observations: Ocean,Contributing Author,Michio Aoyama,,Japan
Chapter 3,Observations: Ocean,Contributing Author,Molly Baringer,,USA
Chapter 3,Observations: Ocean,Contributing Author,Nicholas R. Bates,,Bermuda
Chapter 3,Observations: Ocean,Contributing Author,Timothy Boyer,,USA
Chapter 3,Observations: Ocean,Contributing Author,Robert H. Byrne,,USA
Chapter 3,Observations: Ocean,Contributing Author,Sarah Cooley,,USA
Chapter 3,Observations: Ocean,Contributing Author,Stuart Cunningham,,UK
Chapter 3,Observations: Ocean,Contributing Author,Thierry Delcroix,,France
Chapter 3,Observations: Ocean,Contributing Author,Catia M. Domingues,,Australia
Chapter 3,Observations: Ocean,Contributing Author,Scott Doney,,USA
Chapter 3,Observations: Ocean,Contributing Author,John Dore,,USA
Chapter 3,Observations: Ocean,Contributing Author,Paul J. Durack,,USA
Chapter 3,Observations: Ocean,Contributing Author,Rana Fine,,USA
Chapter 3,Observations: Ocean,Contributing Author,Melchor González-Dávila,,Spain
Chapter 3,Observations: Ocean,Contributing Author,Simon Good,,UK
Chapter 3,Observations: Ocean,Contributing Author,Nicolas Gruber,,Switzerland
