#,Chapter,Role,Name (Country)
21,Regional Context Supplementary Material,Coordinating Lead Author,Bruce Hewitson (South Africa)
21,Regional Context Supplementary Material,Coordinating Lead Author,Anthony C. Janetos (USA)
,,,
21,Regional Context Supplementary Material,Lead Author,Timothy R. Carter (Finland)
21,Regional Context Supplementary Material,Lead Author,Filippo Giorgi (Italy)
21,Regional Context Supplementary Material,Lead Author,Richard G. Jones (UK)
21,Regional Context Supplementary Material,Lead Author,Won-Tae Kwon (Republic of Korea)
21,Regional Context Supplementary Material,Lead Author,Linda O. Mearns (USA)
21,Regional Context Supplementary Material,Lead Author,E. Lisa F. Schipper (Sweden)
21,Regional Context Supplementary Material,Lead Author,Maarten K. van Aalst (Netherlands)
,,,
21,Regional Context Supplementary Material,Contributing Author,Eren Bilir (USA)
21,Regional Context Supplementary Material,Contributing Author,Monalisa Chatterjee (USA/India)
21,Regional Context Supplementary Material,Contributing Author,Katharine J. Mach (USA)
21,Regional Context Supplementary Material,Contributing Author,Carol McSweeney (UK)
21,Regional Context Supplementary Material,Contributing Author,Grace Redmond (UK)
21,Regional Context Supplementary Material,Contributing Author,Vanessa Schweizer (USA)
21,Regional Context Supplementary Material,Contributing Author,Luke Wirth (USA)
21,Regional Context Supplementary Material,Contributing Author,Claire van Wyk (South Africa)
,,,
21,Regional Context Supplementary Material,Review Editor,Thomas Downing (USA)
21,Regional Context Supplementary Material,Review Editor,Phil Duffy (USA)
,,,
21,Regional Context Supplementary Material,Volunteer Chapter Scientist,Kristin Kuntz-Duriseti (USA)
