Chapter,Role,Name,Country
Technical Summary,Coordinating Lead Author,Martin Manning,USA
Technical Summary,Coordinating Lead Author,Dahe Qin,China
Technical Summary,Coordinating Lead Author,Susan Solomon,USA
,,,
Technical Summary,Lead Author,Richard B. Alley,USA
Technical Summary,Lead Author,Terje Berntsen,Norway
Technical Summary,Lead Author,Nathaniel L. Bindoff,Australia
Technical Summary,Lead Author,Zhenlin Chen,China
Technical Summary,Lead Author,Amnat Chidthaisong,Thailand
Technical Summary,Lead Author,Jonathan M. Gregory,United Kingdom
Technical Summary,Lead Author,Gabriele C. Hegerl,USA
Technical Summary,Lead Author,Martin Heimann,Germany
Technical Summary,Lead Author,Bruce Charles Hewitson,South Africa
Technical Summary,Lead Author,Brian J. Hoskins,United Kingdom
Technical Summary,Lead Author,Fortunat Joos,Switzerland
Technical Summary,Lead Author,Jean Jouzel,France
Technical Summary,Lead Author,Vladimir M. Kattsov,Russian Federation
Technical Summary,Lead Author,Ulrike Lohmann,Switzerland
Technical Summary,Lead Author,Taroh Matsuno,Japan
Technical Summary,Lead Author,Mario Molina,USA
Technical Summary,Lead Author,Neville Nicholls,Australia
Technical Summary,Lead Author,Jonathan Overpeck,USA
Technical Summary,Lead Author,Graciela Raga,Mexico
Technical Summary,Lead Author,Venkatachalam Ramaswamy,USA
Technical Summary,Lead Author,Jiawen Ren,China
Technical Summary,Lead Author,Matilde Rusticucci,Argentina
Technical Summary,Lead Author,Richard Somerville,USA
Technical Summary,Lead Author,Thomas F. Stocker,Switzerland
Technical Summary,Lead Author,Ronald J. Stouffer,USA
Technical Summary,Lead Author,Penny Whetton,Australia
Technical Summary,Lead Author,Richard A. Wood,United Kingdom
Technical Summary,Lead Author,David Wratt,New Zealand
,,,
Technical Summary,Contributing Author,Julie Arblaster,USA
Technical Summary,Contributing Author,Guy Brasseur,USA
Technical Summary,Contributing Author,Jens Hesselbjerg Krishna Christensen,Denmark
Technical Summary,Contributing Author,Kenneth L. Denman,Canada
Technical Summary,Contributing Author,David W. Fahey,USA
Technical Summary,Contributing Author,Piers Forster,United Kingdom
Technical Summary,Contributing Author,James M. Haywood,United Kingdom
Technical Summary,Contributing Author,Eystein Jansen,Norway
Technical Summary,Contributing Author,Philip D. Jones,United Kingdom
Technical Summary,Contributing Author,Reto Knutti,USA
Technical Summary,Contributing Author,Hervé Le Treut,France
Technical Summary,Contributing Author,Peter Lemke,Germany
Technical Summary,Contributing Author,Gerald A. Meehl,USA
Technical Summary,Contributing Author,David A. Randall,USA
Technical Summary,Contributing Author,Daithi A. Stone,United Kingdom
Technical Summary,Contributing Author,Kevin E. Trenberth,USA
Technical Summary,Contributing Author,Jurgen Willebrand,Germany
Technical Summary,Contributing Author,Francis W. Zwiers,Canada
,,,
Technical Summary,Review Editor,Kansri Boonpragob,Thailand
Technical Summary,Review Editor,Filippo Giorgi,Italy
Technical Summary,Review Editor,Bubu Pateh Jallow,The Gambia
