#,Chapter,Role,Name (Country)
6,Ocean Systems,Coordinating Lead Author,Hans-O. Pörtner (Germany)
6,Ocean Systems,Coordinating Lead Author,David M. Karl (USA)
,,,
6,Ocean Systems,Lead Author,Phil W. Boyd (New Zealand/Australia)
6,Ocean Systems,Lead Author,William W.L. Cheung (Canada)
6,Ocean Systems,Lead Author,Salvador E. Lluch-Cota (Mexico)
6,Ocean Systems,Lead Author,Yukihiro Nojiri (Japan)
6,Ocean Systems,Lead Author,Daniela N. Schmidt (UK)
6,Ocean Systems,Lead Author,Peter O. Zavialov (Russian Federation)
,,,
6,Ocean Systems,Contributing Author,Jürgen Alheit (Germany)
6,Ocean Systems,Contributing Author,Javier Aristegui (Spain)
6,Ocean Systems,Contributing Author,Claire Armstrong (Norway)
6,Ocean Systems,Contributing Author,Gregory Beaugrand (France)
6,Ocean Systems,Contributing Author,Vsevolod Belkovich (Russian Federation)
6,Ocean Systems,Contributing Author,Chris Bowler (France)
6,Ocean Systems,Contributing Author,Peter Brewer (USA)
6,Ocean Systems,Contributing Author,Matthew Church (USA)
6,Ocean Systems,Contributing Author,Sarah R. Cooley (USA)
6,Ocean Systems,Contributing Author,Pablo del Monte-Luna (Mexico)
6,Ocean Systems,Contributing Author,Martin Edwards (UK)
6,Ocean Systems,Contributing Author,Mikhail Flint (Russian Federation)
6,Ocean Systems,Contributing Author,Michael J. Follows (USA)
6,Ocean Systems,Contributing Author,Thomas Frölicher (Switzerland)
6,Ocean Systems,Contributing Author,Elizabeth A. Fulton (Australia)
6,Ocean Systems,Contributing Author,Jean-Pierre Gattuso (France)
6,Ocean Systems,Contributing Author,Ove Hoegh-Guldberg (Australia)
6,Ocean Systems,Contributing Author,Eileen E. Hofmann (USA)
6,Ocean Systems,Contributing Author,Andrew H. Knoll (USA)
6,Ocean Systems,Contributing Author,Lisa A. Levin (USA)
6,Ocean Systems,Contributing Author,Lena Menzel (Germany)
6,Ocean Systems,Contributing Author,Coleen L. Moloney (South Africa)
6,Ocean Systems,Contributing Author,R. Ian Perry (Canada)
6,Ocean Systems,Contributing Author,Elvira S. Poloczanska (Australia)
6,Ocean Systems,Contributing Author,J. Murray Roberts (UK)
6,Ocean Systems,Contributing Author,Björn Rost (Germany)
6,Ocean Systems,Contributing Author,Jorge L. Sarmiento (USA)
6,Ocean Systems,Contributing Author,Jan Sedláček (Switzerland)
6,Ocean Systems,Contributing Author,Daniela Storch (Germany)
6,Ocean Systems,Contributing Author,Christian Wiencke (Germany)
6,Ocean Systems,Contributing Author,Astrid C. Wittman (Germany)
,,,
6,Ocean Systems,Review Editor,Kenneth F. Drinkwater (Norway)
6,Ocean Systems,Review Editor,Alexander Polonsky (Ukraine)
,,,
6,Ocean Systems,Volunteer Chapter Scientist,Lena Menzel (Germany)
6,Ocean Systems,Volunteer Chapter Scientist,Astrid C. Wittman (Germany)
