Chapter,Role,Name,Country
Global Climate Projections,Coordinating Lead Author,Gerald A. Meehl,USA
Global Climate Projections,Coordinating Lead Author,Thomas F. Stocker,Switzerland
,,,
Global Climate Projections,Lead Author,Ian G. Watterson,Australia
Global Climate Projections,Lead Author,Andrew J. Weaver,Canada
Global Climate Projections,Lead Author,Zong-Ci Zhao,China
Global Climate Projections,Lead Author,Pierre Friedlingstein,France
Global Climate Projections,Lead Author,Akio Kitoh,Japan
Global Climate Projections,Lead Author,Akira Noda,Japan
Global Climate Projections,Lead Author,Amadou Thierno Gaye,Senegal
Global Climate Projections,Lead Author,William D. Collins,USA
Global Climate Projections,Lead Author,Reto Knutti,USA
Global Climate Projections,Lead Author,James M. Murphy,United Kingdom
Global Climate Projections,Lead Author,Jonathan M. Gregory,United Kingdom
Global Climate Projections,Lead Author,Sarah C.B. Raper,United Kingdom
,,,
Global Climate Projections,Contributing Author,Mark Collier,Australia
Global Climate Projections,Contributing Author,Martin Dix,Australia
Global Climate Projections,Contributing Author,Emmanuelle Driesschaert,Belgium
Global Climate Projections,Contributing Author,Marie-France Loutre,Belgium
Global Climate Projections,Contributing Author,Philippe Huybrechts,Belgium
Global Climate Projections,Contributing Author,Michael Eby,Canada
Global Climate Projections,Contributing Author,G.K.C. Clarke,Canada
Global Climate Projections,Contributing Author,Colin Jones,Canada
Global Climate Projections,Contributing Author,H. Damon Matthews,Canada
Global Climate Projections,Contributing Author,Rucong Yu,China
Global Climate Projections,Contributing Author,Bin Wang,China
Global Climate Projections,Contributing Author,Jouni Raisanen,Finland
Global Climate Projections,Contributing Author,Patrick Brockmann,France
Global Climate Projections,Contributing Author,Patricia Cadule,France
Global Climate Projections,Contributing Author,Jean-Louis Dufresne,France
Global Climate Projections,Contributing Author,David Salas Y MéLia,France
Global Climate Projections,Contributing Author,Laurent Terray,France
Global Climate Projections,Contributing Author,Annette Rinke,Germany
Global Climate Projections,Contributing Author,Johann H. Jungclaus,Germany
Global Climate Projections,Contributing Author,Erich Roeckner,Germany
Global Climate Projections,Contributing Author,Victor Brovkin,Germany
Global Climate Projections,Contributing Author,Malte Meinshausen,Germany
Global Climate Projections,Contributing Author,Susanne Nawrath,Germany
Global Climate Projections,Contributing Author,Birgit Schneider,Germany
Global Climate Projections,Contributing Author,Seita Emori,Japan
Global Climate Projections,Contributing Author,Masahide Kimoto,Japan
Global Climate Projections,Contributing Author,Jun Yoshimura,Japan
Global Climate Projections,Contributing Author,Seiji Yukimoto,Japan
Global Climate Projections,Contributing Author,James Annan,Japan
Global Climate Projections,Contributing Author,James Orr,Monaco
Global Climate Projections,Contributing Author,Evgeny M. Volodin,Russian Federation
Global Climate Projections,Contributing Author,Nikolay A. Diansky,Russian Federation
Global Climate Projections,Contributing Author,Fortunat Joos,Switzerland
Global Climate Projections,Contributing Author,Simon A. Müller,Switzerland
Global Climate Projections,Contributing Author,Gian-Kasper Plattner,Switzerland
Global Climate Projections,Contributing Author,Martin Wild,Switzerland
Global Climate Projections,Contributing Author,Johannes Oerlemans,The Netherlands
Global Climate Projections,Contributing Author,Roderik Van de Wal,The Netherlands
Global Climate Projections,Contributing Author,James E. Hansen,USA
Global Climate Projections,Contributing Author,Gary L. Russell,USA
Global Climate Projections,Contributing Author,Gavin Schmidt,USA
Global Climate Projections,Contributing Author,Cecilia M. Bitz,USA
Global Climate Projections,Contributing Author,Marta Krynytzky,USA
Global Climate Projections,Contributing Author,Julie Arblaster,USA
Global Climate Projections,Contributing Author,Lawrence Buja,USA
Global Climate Projections,Contributing Author,Marika M. Holland,USA
Global Climate Projections,Contributing Author,Aixue Hu,USA
Global Climate Projections,Contributing Author,David M. Lawrence,USA
Global Climate Projections,Contributing Author,Claudia Tebaldi,USA
Global Climate Projections,Contributing Author,Haiyan Teng,USA
Global Climate Projections,Contributing Author,Tom M.L. Wigley,USA
Global Climate Projections,Contributing Author,Andreas Schmittner,USA
Global Climate Projections,Contributing Author,Keith W. Dixon,USA
Global Climate Projections,Contributing Author,Thomas Knutson,USA
Global Climate Projections,Contributing Author,Ronald J. Stouffer,USA
Global Climate Projections,Contributing Author,Richard B. Alley,USA
Global Climate Projections,Contributing Author,Peter Gleckler,USA
Global Climate Projections,Contributing Author,Benjamin D. Santer,USA
Global Climate Projections,Contributing Author,Karl E. Taylor,USA
Global Climate Projections,Contributing Author,Mark Dyurgerov,USA
Global Climate Projections,Contributing Author,Andrei Sokolov,USA
Global Climate Projections,Contributing Author,Michael Oppenheimer,USA
Global Climate Projections,Contributing Author,Jonathan Overpeck,USA
Global Climate Projections,Contributing Author,Gabriele C. Hegerl,USA
Global Climate Projections,Contributing Author,Reinhard Furrer,USA
Global Climate Projections,Contributing Author,Piers Forster,United Kingdom
Global Climate Projections,Contributing Author,David Vaughan,United Kingdom
Global Climate Projections,Contributing Author,David Stainforth,United Kingdom
Global Climate Projections,Contributing Author,Anne Le Brocq,United Kingdom
Global Climate Projections,Contributing Author,Antony Payne,United Kingdom
Global Climate Projections,Contributing Author,Matthew Collins,United Kingdom
Global Climate Projections,Contributing Author,Glen Harris,United Kingdom
Global Climate Projections,Contributing Author,Jason A. Lowe,United Kingdom
Global Climate Projections,Contributing Author,Peter A. Stott,United Kingdom
Global Climate Projections,Contributing Author,Andrew Shepherd,United Kingdom
Global Climate Projections,Contributing Author,Timothy N. Palmer,United Kingdom
Global Climate Projections,Contributing Author,Neil R. Edwards,United Kingdom
Global Climate Projections,Contributing Author,Jamie Kettleborough,United Kingdom
,,,
Global Climate Projections,Review Editor,Myles R. Allen,United Kingdom
Global Climate Projections,Review Editor,Govind Ballabh Pant,India
