Chapter,Role,Name,Country
"Industry, settlements and society",Coordinating Lead Author,Patricia Romero Lankao,USA
"Industry, settlements and society",Coordinating Lead Author,Thomas J. Wilbanks,USA
,,,
"Industry, settlements and society",Lead Author,Manzhu Bao,China
"Industry, settlements and society",Lead Author,Frans Berkhout,The Netherlands
"Industry, settlements and society",Lead Author,Sandy Cairncross,United Kingdom
"Industry, settlements and society",Lead Author,Jean-Paul Ceron,France
"Industry, settlements and society",Lead Author,Manmohan Kapshe,India
"Industry, settlements and society",Lead Author,Robert Muir-Wood,USA
"Industry, settlements and society",Lead Author,Ricardo Zapata-Marti,Chile
,,,
"Industry, settlements and society",Contributing Author,Maureen Agnew,United Kingdom
"Industry, settlements and society",Contributing Author,Richard Black,United Kingdom
"Industry, settlements and society",Contributing Author,Thomas E. Downing,Sweden
"Industry, settlements and society",Contributing Author,Stefan Gossling,Sweden
"Industry, settlements and society",Contributing Author,Maria-Carmen Lemos,USA
"Industry, settlements and society",Contributing Author,Karen O'Brien,Norway
"Industry, settlements and society",Contributing Author,Christian Pfister,Switzerland
"Industry, settlements and society",Contributing Author,William Solecki,USA
"Industry, settlements and society",Contributing Author,Coleen Vogel,South Africa
,,,
"Industry, settlements and society",Review Editor,David Satterthwaite,United Kingdom
"Industry, settlements and society",Review Editor,Y. Dhammika Wanasinghe,Sri Lanka
