Chapter,Role,Name (Country)
Decision-making Frameworks,Coordinating Lead Author,Ferenc L. Toth (Germany)
Decision-making Frameworks,Coordinating Lead Author,M.J. Mwandosya (Tanzania)
,,
Decision-making Frameworks,Lead Author,Carlo Carraro (Italy)
Decision-making Frameworks,Lead Author,John M. Christensen (Denmark)
Decision-making Frameworks,Lead Author,Jae Edmonds (USA)
Decision-making Frameworks,Lead Author,Brian Flannery (USA)
Decision-making Frameworks,Lead Author,Carlos Gay Garcia (Mexico)
Decision-making Frameworks,Lead Author,Hoesung Lee (South Korea)
Decision-making Frameworks,Lead Author,Klaus Michael Meyer-Abich (Germany)
Decision-making Frameworks,Lead Author,Klaus Michael (N/A)
Decision-making Frameworks,Lead Author,Elena Nikitina (Russian Federation)
Decision-making Frameworks,Lead Author,Atiq Rahman (Bangladesh)
Decision-making Frameworks,Lead Author,Richard G. Richels (USA)
Decision-making Frameworks,Lead Author,Ye Ruqiu (N/A)
Decision-making Frameworks,Lead Author,Arturo Villavicencio (Denmark)
Decision-making Frameworks,Lead Author,Y. Wake (Japan)
Decision-making Frameworks,Lead Author,John P. Weyant (USA)
,,
Decision-making Frameworks,Contributing Author,John Byrne (USA)
Decision-making Frameworks,Contributing Author,Robert Lempert (USA)
Decision-making Frameworks,Contributing Author,I. Meyer (Germany)
Decision-making Frameworks,Contributing Author,A. Underdal (Norway)
,,
Decision-making Frameworks,Review Editor,Jonathan Pershing (France)
Decision-making Frameworks,Review Editor,Mordechai Shechter (Israel)
