#,Chapter,"Name, Country)"
TS,Technical Summary,"Jim F. Skea, United Kingdom"
TS,Technical Summary,"Allen M. Solomon, USA"
TS,Technical Summary,"Eugene Z. Stakhiv, USA"
TS,Technical Summary,"Oedon Starosolszky, Hungary"
TS,Technical Summary,"Avelino G. Suarez, Cuba"
TS,Technical Summary,"B.H. Svensson, Sweden"
TS,Technical Summary,"Hidekazu Takakura, Japan"
TS,Technical Summary,"Melissa Taylor, Canada"
TS,Technical Summary,"Lucien Tessier, France"
TS,Technical Summary,"Dennis A. Tirpak, USA"
TS,Technical Summary,"Jean-Paul Troadec, France"
TS,Technical Summary,"Itsuya Tsuzaka, Japan"
TS,Technical Summary,"Pier Vellinga, The Netherlands"
TS,Technical Summary,"Robert T. Watson, USA"
TS,Technical Summary,"Ted Williams, USA"
TS,Technical Summary,"Youyu Xie, China"
TS,Technical Summary,"Patrick Young, USA"
TS,Technical Summary,"Fengqi Zhou, China"
TS,Technical Summary,"M.C. Zinyowera, Zimbabwe"
