Chapter,Role,Name (Country)
Fisheries,Coordinating Lead Author,John Everett (USA)
,,
Fisheries,Lead Author,Andrei Krovnin (Russian Federation)
Fisheries,Lead Author,Daniel Lluch-Belda (Mexico)
Fisheries,Lead Author,Ezekiel Okemwa (Kenya)
Fisheries,Lead Author,H.A. Regier (Canada)
Fisheries,Lead Author,Jean-Paul Troadec (France)
,,
Fisheries,Contributing Author,D. Binet (France)
Fisheries,Contributing Author,Suzanne Bolton (USA)
Fisheries,Contributing Author,R. Callendar (USA)
Fisheries,Contributing Author,J. Clark (USA)
Fisheries,Contributing Author,I. Everson (United Kingdom)
Fisheries,Contributing Author,S. Fiske (USA)
Fisheries,Contributing Author,G. Flittner (USA)
Fisheries,Contributing Author,Michael H. Glantz (USA)
Fisheries,Contributing Author,G.J. Glova (New Zealand)
Fisheries,Contributing Author,C. Grimes (USA)
Fisheries,Contributing Author,J. Hare (USA)
Fisheries,Contributing Author,D. Hinckley (USA)
Fisheries,Contributing Author,B. Mcdowall (New Zealand)
Fisheries,Contributing Author,J. Mcvey (USA)
Fisheries,Contributing Author,R. Methot (USA)
Fisheries,Contributing Author,D. Mountain (USA)
Fisheries,Contributing Author,S. Nicol (Australia)
Fisheries,Contributing Author,L. Paul (New Zealand)
Fisheries,Contributing Author,R. Park (USA)
Fisheries,Contributing Author,I. Poiner (Australia)
Fisheries,Contributing Author,J. Richey (USA)
Fisheries,Contributing Author,G. Sharp (USA)
Fisheries,Contributing Author,K. Sherman (USA)
Fisheries,Contributing Author,T. Sibley (USA)
Fisheries,Contributing Author,R. Thresher (Australia)
Fisheries,Contributing Author,D. Welch (Canada)
