#,Chapter,Role,Name (Country)
7SM,Clouds and Aerosols Supplementary Material,Coordinating Lead Author,Olivier Boucher (France)
7SM,Clouds and Aerosols Supplementary Material,Coordinating Lead Author,David Randall (USA)
,,,
7SM,Clouds and Aerosols Supplementary Material,Lead Author,Paulo Artaxo (Brazil)
7SM,Clouds and Aerosols Supplementary Material,Lead Author,Christopher Bretherton (USA)
7SM,Clouds and Aerosols Supplementary Material,Lead Author,Graham Feingold (USA)
7SM,Clouds and Aerosols Supplementary Material,Lead Author,Piers Forster (UK)
7SM,Clouds and Aerosols Supplementary Material,Lead Author,Veli-Matti Kerminen (Finland)
7SM,Clouds and Aerosols Supplementary Material,Lead Author,Yutaka Kondo (Japan)
7SM,Clouds and Aerosols Supplementary Material,Lead Author,Hong Liao (China)
7SM,Clouds and Aerosols Supplementary Material,Lead Author,Ulrike Lohmann (Switzerland)
7SM,Clouds and Aerosols Supplementary Material,Lead Author,Philip Rasch (USA)
7SM,Clouds and Aerosols Supplementary Material,Lead Author,S.K. Satheesh (India)
7SM,Clouds and Aerosols Supplementary Material,Lead Author,Steven Sherwood (Australia)
7SM,Clouds and Aerosols Supplementary Material,Lead Author,Bjorn Stevens (Germany)
7SM,Clouds and Aerosols Supplementary Material,Lead Author,Xiao-Ye Zhang (China)
,,,
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Govindasamy Bala (India)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Nicolas Bellouin (UK)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Angela Benedetti (UK)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Sandrine Bony (France)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Ken Caldeira (USA)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Anthony Del Genio (USA)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Maria Cristina Facchini (Italy)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Mark Flanner (USA)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Steven Ghan (USA)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Claire Granier (France)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Corinna Hoose (Germany)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Andy Jones (UK)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Makoto Koike (Japan)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Ben Kravitz (USA)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Benjamin Laken (Spain)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Matthew Lebsock (USA)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Natalie Mahowald (USA)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Gunnar Myhre (Norway)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Colin O’Dowd (Ireland)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Alan Robock (USA)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Bjørn Samset (Norway)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Hauke Schmidt (Germany)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Michael Schulz (Norway)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Graeme Stephens (USA)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Philip Stier (UK)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Trude Storelvmo (USA)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,David Winker (USA)
7SM,Clouds and Aerosols Supplementary Material,Contributing Author,Matthew Wyant (USA)
,,,
7SM,Clouds and Aerosols Supplementary Material,Review Editor,Sandro Fuzzi (Italy)
7SM,Clouds and Aerosols Supplementary Material,Review Editor,Joyce Penner (USA)
7SM,Clouds and Aerosols Supplementary Material,Review Editor,Venkatachalam Ramaswamy (USA)
7SM,Clouds and Aerosols Supplementary Material,Review Editor,Claudia Stubenrauch (France)
