"Role","Name (Country)"
"Edited by","MARTIN BENISTON (SWITZERLAND)"
"Edited by","RICHARD S.J. TOL (THE NETHERLANDS)"
,
"Lead Author","R. Delécolle (France) "
"Lead Author","G. Hoermann (Germany) "
"Lead Author","A. Iglesias (Spain) "
"Lead Author","J. Innes (Switzerland) "
"Lead Author","A.J. McMichael (UK) "
"Lead Author","W.J.M. Martens (The Netherlands) "
"Lead Author","I. Nemesova (Czech Republic) "
"Lead Author","R. Nicholls (UK) "
"Lead Author","F.L. Toth (Germany) "
,
"Contributor","S. Kovats (UK) "
"Contributor","R. Leemans (The Netherlands)"
"Contributor","Z. Stojic (Slovenia)"
