Chapter,Role,Name (Country)
Oceans,Coordinating Lead Author,Venugopalan Ittekkot (Germany)
,,
Oceans,Lead Author,Su Jilan (China)
Oceans,Lead Author,Edward L. Miles (USA)
,,
Oceans,Lead Author,Ehrlich Desa (India)
Oceans,Lead Author,B.N. Desai (India)
Oceans,Lead Author,John Everett (USA)
Oceans,Lead Author,John J. Magnuson (USA)
Oceans,Lead Author,Alla Tsyban (Russian Federation)
Oceans,Lead Author,S. Zuta (Peru)
,,
Oceans,Contributing Author,E. Aquize (Peru)
Oceans,Contributing Author,S. Arnott (USA)
Oceans,Contributing Author,P. Ayondejo (Peru)
Oceans,Contributing Author,D. Binet (France)
Oceans,Contributing Author,Suzanne Bolton (USA)
Oceans,Contributing Author,R. Calienes (Peru)
Oceans,Contributing Author,S. Carrasco Barrera (Peru)
Oceans,Contributing Author,John A. Church (Australia)
Oceans,Contributing Author,A. Copping (USA)
Oceans,Contributing Author,D.L. Fluharty (USA)
Oceans,Contributing Author,B.V. Glebov (Russian Federation)
Oceans,Contributing Author,K.P. Koltermann (Germany)
Oceans,Contributing Author,A.S. Kulikov (Russian Federation)
Oceans,Contributing Author,S. Nicol (Australia)
Oceans,Contributing Author,Patrick D. Nunn (Fiji)
Oceans,Contributing Author,G.V. Panov (Russian Federation)
Oceans,Contributing Author,P.K. Park (USA)
Oceans,Contributing Author,A. Barrie Pittock (Australia)
Oceans,Contributing Author,P. Schaefer (Germany)
Oceans,Contributing Author,S.A. Shchuka (Russian Federation)
Oceans,Contributing Author,H. Trevino (Peru)
Oceans,Contributing Author,D.J. Webb (United Kingdom)
Oceans,Contributing Author,R. Zahn (Germany)
