#,Chapter,Role,Name (Country)
21,Regional context,Coordinating Lead Author,Bruce Charles Hewitson (South Africa)
21,Regional context,Coordinating Lead Author,Anthony Janetos (United States)
,,,
21,Regional context,Lead Author,Timothy Carter (Finland)
21,Regional context,Lead Author,Filippo Giorgi (Italy)
21,Regional context,Lead Author,Richard Jones (United Kingdom)
21,Regional context,Lead Author,Won-Tae Kwon (Republic of Korea)
21,Regional context,Lead Author,Linda Mearns (United States)
21,Regional context,Lead Author,Lisa Schipper (Sweden)
21,Regional context,Lead Author,Maarten van Aalst (Netherlands)
,,,
21,Regional context,Review Editor,Tom Downing (United States)
21,Regional context,Review Editor,Phil Duffy (United States)
,,,
21,Regional context,Volunteer Chapter Scientist,Kristin Kuntz-Duriseti (United States)
,,,
21,Regional context,Contributing Author,Eren Bilir (United States)
21,Regional context,Contributing Author,Monalisa Chatterjee (United States / India)
21,Regional context,Contributing Author,Katharine Mach (United States)
21,Regional context,Contributing Author,Carol McSweeney (United Kingdom)
21,Regional context,Contributing Author,Grace Redmond (United Kingdom)
21,Regional context,Contributing Author,Vanessa Schweizer (United States)
21,Regional context,Contributing Author,Claire van Wyk (South Africa)
21,Regional context,Contributing Author,Luke Wirth (United States)
