#,Chapter,Role,Name (Country)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Coordinating Lead Author,Philippe Ciais (France)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Coordinating Lead Author,Christopher Sabine (USA)
,,,
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Lead Author,Govindasamy Bala (India)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Lead Author,Laurent Bopp (France)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Lead Author,Victor Brovkin (Germany/Russian Federation)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Lead Author,Josep Canadell (Australia)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Lead Author,Abha Chhabra (India)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Lead Author,Ruth DeFries (USA)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Lead Author,James Galloway (USA)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Lead Author,Martin Heimann (Germany)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Lead Author,Christopher Jones (UK)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Lead Author,Corinne Le Quéré (UK)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Lead Author,Ranga B. Myneni (USA)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Lead Author,Shilong Piao (China)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Lead Author,Peter Thornton (USA)
,,,
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Anders Ahlström (Sweden)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Alessandro Anav (UK/Italy)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Oliver Andrews (UK)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,David Archer (USA)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Vivek Arora (Canada)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Gordon Bonan (USA)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Alberto Vieira Borges (Belgium/Portugal)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Philippe Bousquet (France)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Lex Bouwman (Netherlands)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Lori M. Bruhwiler (USA)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Kenneth Caldeira (USA)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Long Cao (China)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Jérôme Chappellaz (France)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Frédéric Chevallier (France)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Cory Cleveland (USA)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Peter Cox (UK)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Frank J. Dentener (EU/Netherlands)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Scott C. Doney (USA)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Jan Willem Erisman (Netherlands)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Eugenie S. Euskirchen (USA)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Pierre Friedlingstein (UK/Belgium)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Nicolas Gruber (Switzerland)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Kevin Gurney (USA)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Elisabeth A. Holland (Fiji/USA)
6SM,Carbon and Other Biogeochemical Cycles Supplementary Material,Contributing Author,Brett Hopwood (USA)
