#,Chapter,Role,Name (Country)
7,Energy Systems,Coordinating Lead Author,Igor Alexeyevich Bashmakov (Russian Federation)
7,Energy Systems,Coordinating Lead Author,Thomas Bruckner (Germany)
7,Energy Systems,Coordinating Lead Author,Yacob Mulugetta (UK)
,,,
7,Energy Systems,Lead Author,Helena Chum (Brazil/USA)
7,Energy Systems,Lead Author,Angel De la Vega Navarro (Mexico)
7,Energy Systems,Lead Author,James A. Edmonds (USA)
7,Energy Systems,Lead Author,Andre Faaij (Netherlands)
7,Energy Systems,Lead Author,Bundit Fungtammasan (Thailand)
7,Energy Systems,Lead Author,Amit Garg (India)
7,Energy Systems,Lead Author,Edgar Hertwich (Austria/Norway)
7,Energy Systems,Lead Author,Damon Robert Honnery (Australia)
7,Energy Systems,Lead Author,David Infield (UK)
7,Energy Systems,Lead Author,Mikiko Kainuma (Japan)
7,Energy Systems,Lead Author,Smail Khennas (Algeria/UK)
7,Energy Systems,Lead Author,Suduk Kim (South Korea)
7,Energy Systems,Lead Author,Hassan Bashir Nimir (Sudan)
7,Energy Systems,Lead Author,Keywan Riahi (Austria)
7,Energy Systems,Lead Author,Neil Strachan (UK)
7,Energy Systems,Lead Author,Ryan Wiser (USA)
7,Energy Systems,Lead Author,Xiliang Zhang (China)
,,,
7,Energy Systems,Review Editor,Kirit S. Parikh (India)
7,Energy Systems,Review Editor,Jim Skea (UK)
,,,
7,Energy Systems,Contributing Author,Yumiko Asayama (Japan)
7,Energy Systems,Contributing Author,Giovanni Baiocchi (Italy)
7,Energy Systems,Contributing Author,Francesco Cherubini (Italy)
7,Energy Systems,Contributing Author,Anna Czajkowska (Poland)
7,Energy Systems,Contributing Author,Naim Darghouth (USA)
7,Energy Systems,Contributing Author,James Dooley (USA)
7,Energy Systems,Contributing Author,Thomas Gibon (France)
7,Energy Systems,Contributing Author,Haruna Gujba (Nigeria)
7,Energy Systems,Contributing Author,Ben Hoen (USA)
7,Energy Systems,Contributing Author,Jessica Jewell (Austria)
7,Energy Systems,Contributing Author,Susanne Kadner (Germany)
7,Energy Systems,Contributing Author,Son Kim (USA)
7,Energy Systems,Contributing Author,Peter Larsen (USA)
7,Energy Systems,Contributing Author,Ariel Macaspac Hernandez (Germany)
7,Energy Systems,Contributing Author,Axel Michaelowa (Germany)
7,Energy Systems,Contributing Author,Andrew Mills (USA)
7,Energy Systems,Contributing Author,Kanako Morita (Japan)
7,Energy Systems,Contributing Author,Karsten Neuhoff (Germany)
7,Energy Systems,Contributing Author,H.-Holger Rogner (Germany)
7,Energy Systems,Contributing Author,Joseph Salvatore (UK)
7,Energy Systems,Contributing Author,Steffen Schloemer (Germany)
7,Energy Systems,Contributing Author,Kristin Seyboth (USA)
7,Energy Systems,Contributing Author,Jigeesha Upadhyay (India)
7,Energy Systems,Contributing Author,David deJager (Netherlands)
7,Energy Systems,Contributing Author,Christoph von Stechow (Germany)
