#,Chapter,Role,Name (Country)
13SM,Sea Level Change Supplementary Material,Coordinating Lead Author,John A. Church (Australia)
13SM,Sea Level Change Supplementary Material,Coordinating Lead Author,Peter U. Clark (USA)
,,,
13SM,Sea Level Change Supplementary Material,Lead Author,Anny Cazenave (France)
13SM,Sea Level Change Supplementary Material,Lead Author,Jonathan M. Gregory (UK)
13SM,Sea Level Change Supplementary Material,Lead Author,Svetlana Jevrejeva (UK)
13SM,Sea Level Change Supplementary Material,Lead Author,Anders Levermann (Germany)
13SM,Sea Level Change Supplementary Material,Lead Author,Mark A. Merrifield (USA)
13SM,Sea Level Change Supplementary Material,Lead Author,Glenn A. Milne (Canada)
13SM,Sea Level Change Supplementary Material,Lead Author,R. Steven Nerem (USA)
13SM,Sea Level Change Supplementary Material,Lead Author,Patrick D. Nunn (Australia)
13SM,Sea Level Change Supplementary Material,Lead Author,Antony J. Payne (UK)
13SM,Sea Level Change Supplementary Material,Lead Author,W. Tad Pfeffer (USA)
13SM,Sea Level Change Supplementary Material,Lead Author,Detlef Stammer (Germany)
13SM,Sea Level Change Supplementary Material,Lead Author,Alakkat S. Unnikrishnan (India)
,,,
13SM,Sea Level Change Supplementary Material,Contributing Author,David Bahr (USA)
13SM,Sea Level Change Supplementary Material,Contributing Author,Jason E. Box (Denmark/USA)
13SM,Sea Level Change Supplementary Material,Contributing Author,David H. Bromwich (USA)
13SM,Sea Level Change Supplementary Material,Contributing Author,Mark Carson (Germany)
13SM,Sea Level Change Supplementary Material,Contributing Author,William Collins (UK)
13SM,Sea Level Change Supplementary Material,Contributing Author,Xavier Fettweis (Belgium)
13SM,Sea Level Change Supplementary Material,Contributing Author,Piers Forster (UK)
13SM,Sea Level Change Supplementary Material,Contributing Author,Alex Gardner (USA)
13SM,Sea Level Change Supplementary Material,Contributing Author,W. Roland Gehrels (UK)
13SM,Sea Level Change Supplementary Material,Contributing Author,Rianne Giesen (Netherlands)
13SM,Sea Level Change Supplementary Material,Contributing Author,Peter J. Gleckler (USA)
13SM,Sea Level Change Supplementary Material,Contributing Author,Peter Good (UK)
13SM,Sea Level Change Supplementary Material,Contributing Author,Rune Grand Graversen (Sweden)
13SM,Sea Level Change Supplementary Material,Contributing Author,Ralf Greve (Japan)
13SM,Sea Level Change Supplementary Material,Contributing Author,Stephen Griffies (USA)
13SM,Sea Level Change Supplementary Material,Contributing Author,Edward Hanna (UK)
13SM,Sea Level Change Supplementary Material,Contributing Author,Mark Hemer (Australia)
13SM,Sea Level Change Supplementary Material,Contributing Author,Regine Hock (USA)
13SM,Sea Level Change Supplementary Material,Contributing Author,Simon J. Holgate (UK)
13SM,Sea Level Change Supplementary Material,Contributing Author,John Hunter (Australia)
13SM,Sea Level Change Supplementary Material,Contributing Author,Philippe Huybrechts (Belgium)
13SM,Sea Level Change Supplementary Material,Contributing Author,Gregory Johnson (USA)
