Role,Name (Country)
,BERT BOLIN (SWEDEN)
,RAMAN SUKUMAR (INDIA)
,
Lead Author,P. Ciais (France)
Lead Author,W. Cramer (Germany)
Lead Author,P. Jarvis (UK)
Lead Author,H. Kheshgi (USA)
Lead Author,C. Nobre (Brazil)
Lead Author,S. Semenov (Russian Federation)
Lead Author,W. Steffen (Australia)
,
Review Editor,S. Linder (Sweden)
Review Editor,F. Joos (Switzerland)
