#,Chapter,Role,Name
8,Estimating the Costs of Mitigating Greenhouse Gases,Convening Author,J.C. HOURCADE
,,,
8,Estimating the Costs of Mitigating Greenhouse Gases,Principal Lead Author,R. RICHELS
8,Estimating the Costs of Mitigating Greenhouse Gases,Principal Lead Author,J. ROBINSON
,,,
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,W. Chandler
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,O. Davidson
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,J. Edmonds
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,D. Finon
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,M. Grubb
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,K. Halsnaes
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,K. Hogan
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,M. Jaccard
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,F. Krause
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,E. La Rovere
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,W.D. Montgomery
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,P. Nastari
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,A. Pegov
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,K. Richards
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,L. Schrattenholzer
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,D. Siniscalco
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,P.R. Shukla
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,Y. Sokona
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,P. Sturm
8,Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,A. Tudini
