Chapter,Title,Role,Name,Institution,Citizenship,Affiliation Country
Chapter 9,Buildings,Coordinating Lead Author,Oswaldo Lucon,Sao Paulo State Environment Secretariat,Brazil,Brazil
Chapter 9,Buildings,Coordinating Lead Author,Diana Ürge-Vorsatz,Central European University,Hungary,Hungary
,,,,,,
Chapter 9,Buildings,Lead Author,Hashem Akbari,Concordia University,United States,Canada
Chapter 9,Buildings,Lead Author,Paolo Bertoldi,European Commission,Italy,Italy
Chapter 9,Buildings,Lead Author,Luisa F. Cabeza,University of Lleida,Spain,Spain
Chapter 9,Buildings,Lead Author,Nicholas Eyre,Oxford University,United Kingdom,United Kingdom
Chapter 9,Buildings,Lead Author,Ashok Gadgil,Lawrence Berkeley National Laboratory,India,United States
Chapter 9,Buildings,Lead Author,L.D. Danny Harvey,University of Toronto,Canada,Canada
Chapter 9,Buildings,Lead Author,Yi Jiang,Tsinghua University,China,China
Chapter 9,Buildings,Lead Author,Enoch Liphoto,Eskom Holdings SOC Limited,South Africa,South Africa
Chapter 9,Buildings,Lead Author,Sevastianos Mirasgedis,National Observatory of Athens,Greece,Greece
Chapter 9,Buildings,Lead Author,Shuzo Murakami,Building Research Institute,Japan,Japan
Chapter 9,Buildings,Lead Author,Jyoti Parikh,Integrated Research and Action for Development (IRADe),India,India
Chapter 9,Buildings,Lead Author,Christopher Pyke,US Green Building Council,United States,United States
Chapter 9,Buildings,Lead Author,Maria Virginia Vilariño,"Business Council for Sustainable Development Argentina, WBCSD Argentinean Chapter ",Argentina,Argentina
Chapter 9,Buildings,Lead Author,Azni Zain Ahmed,Universiti Teknologi MARA,Malaysia,Malaysia
,,,,,,
Chapter 9,Buildings,Review Editor,Marilyn Brown,Georgia Institute of Technology,United States,United States
Chapter 9,Buildings,Review Editor,Tamás Pálvölgyi,Budapest University of Technology and Economics,Hungary,Hungary
,,,,,,
Chapter 9,Buildings,Contributing Author,Jiyong Eom,,South Korea,
Chapter 9,Buildings,Contributing Author,Peter Graham,,Australia,
Chapter 9,Buildings,Contributing Author,Ágnes Kelemen,,Hungary,
Chapter 9,Buildings,Contributing Author,Volker Krey,,Germany,
Chapter 9,Buildings,Contributing Author,Ksenia Petrichenko,,Hungary,
