#,Chapter,Role,Name (Country)
15,National and Sub-national Policies and Institutions,Coordinating Lead Author,Eswaran Somanathan (India)
15,National and Sub-national Policies and Institutions,Coordinating Lead Author,Thomas Sterner (Sweden)
15,National and Sub-national Policies and Institutions,Coordinating Lead Author,Taishi Sugiyama (Japan)
,,,
15,National and Sub-national Policies and Institutions,Lead Author,Donald Chimanikire (Zimbabwe)
15,National and Sub-national Policies and Institutions,Lead Author,Navroz K. Dubash (India)
15,National and Sub-national Policies and Institutions,Lead Author,Joseph Kow Essandoh-Yeddu (Ghana)
15,National and Sub-national Policies and Institutions,Lead Author,Solomone Fifita (Tonga/Fiji)
15,National and Sub-national Policies and Institutions,Lead Author,Lawrence Goulder (USA)
15,National and Sub-national Policies and Institutions,Lead Author,Adam Jaffe (USA/New Zealand)
15,National and Sub-national Policies and Institutions,Lead Author,Xavier Labandeira (Spain)
15,National and Sub-national Policies and Institutions,Lead Author,Shunsuke Managi (Japan)
15,National and Sub-national Policies and Institutions,Lead Author,Catherine Mitchell (UK)
15,National and Sub-national Policies and Institutions,Lead Author,Juan Pablo Montero (Chile)
15,National and Sub-national Policies and Institutions,Lead Author,Fei Teng (China)
15,National and Sub-national Policies and Institutions,Lead Author,Tomasz Zylicz (Poland)
,,,
15,National and Sub-national Policies and Institutions,Contributing Author,Arild Angelsen (Norway)
15,National and Sub-national Policies and Institutions,Contributing Author,Kazumasu Aoki (Japan)
15,National and Sub-national Policies and Institutions,Contributing Author,Kenji Asano (Japan)
15,National and Sub-national Policies and Institutions,Contributing Author,Michele Betsill (USA)
15,National and Sub-national Policies and Institutions,Contributing Author,Rishikesh Ram Bhandary (Nepal/USA)
15,National and Sub-national Policies and Institutions,Contributing Author,Nils Axel Braathen (France/Norway)
15,National and Sub-national Policies and Institutions,Contributing Author,Harriet Bulkeley (UK)
15,National and Sub-national Policies and Institutions,Contributing Author,Dallas Burtraw (USA)
15,National and Sub-national Policies and Institutions,Contributing Author,Ann Carlson (USA)
15,National and Sub-national Policies and Institutions,Contributing Author,Luis Gomez-Echeverri (Austria/Colombia)
15,National and Sub-national Policies and Institutions,Contributing Author,Erik Haites (Canada)
15,National and Sub-national Policies and Institutions,Contributing Author,Frank Jotzo (Germany/Australia)
15,National and Sub-national Policies and Institutions,Contributing Author,Milind Kandlikar (India/Canada)
15,National and Sub-national Policies and Institutions,Contributing Author,Osamu Kimura (Japan)
15,National and Sub-national Policies and Institutions,Contributing Author,Gunnar Kohlin (Sweden)
15,National and Sub-national Policies and Institutions,Contributing Author,Hidenori Komatsu (Japan)
15,National and Sub-national Policies and Institutions,Contributing Author,Andrew Marquard (South Africa)
15,National and Sub-national Policies and Institutions,Contributing Author,Michael Mehling (Germany/USA)
15,National and Sub-national Policies and Institutions,Contributing Author,Duane Muller (USA)
15,National and Sub-national Policies and Institutions,Contributing Author,Luis Mundaca (Chile/Sweden)
15,National and Sub-national Policies and Institutions,Contributing Author,Michael Pahle (Germany)
15,National and Sub-national Policies and Institutions,Contributing Author,Matthew Paterson (Canada)
15,National and Sub-national Policies and Institutions,Contributing Author,Charles Roger (UK/Canada)
15,National and Sub-national Policies and Institutions,Contributing Author,Kristin Seyboth (USA)
15,National and Sub-national Policies and Institutions,Contributing Author,Elisheba Spiller (USA)
15,National and Sub-national Policies and Institutions,Contributing Author,Christoph von Stechow (Germany)
15,National and Sub-national Policies and Institutions,Contributing Author,Paul Watkiss (UK)
15,National and Sub-national Policies and Institutions,Contributing Author,Harald Winkler (South Africa)
15,National and Sub-national Policies and Institutions,Contributing Author,Bridget Woodman (UK)
,,,
15,National and Sub-national Policies and Institutions,Review Editor,Martin Jänicke (Germany)
15,National and Sub-national Policies and Institutions,Review Editor,Ronaldo Seroa da Motta (Brazil)
15,National and Sub-national Policies and Institutions,Review Editor,Nadir Mohamed Awad Suliman (Sudan)
,,,
15,National and Sub-national Policies and Institutions,Chapter Science Assistant,Rishikesh Ram Bhandary (Nepal/USA)
