Chapter,Title,Role,Name,Institution,Country
Chapter 21,Regional context,Coordinating Lead Author,Bruce Charles Hewitson,University of Cape Town,South Africa
Chapter 21,Regional context,Coordinating Lead Author,Anthony Janetos,"Frederick S. Pardee Center for the Study of the Longer-Range Future, Boston University",United States
,,,,,
Chapter 21,Regional context,Lead Author,Timothy Carter,Finnish Environment Institute,Finland
Chapter 21,Regional context,Lead Author,Filippo Giorgi,Abdus Salam International Centre for Theoretical Physics,Italy
Chapter 21,Regional context,Lead Author,Richard Jones,Met Office Hadley Centre,United Kingdom
Chapter 21,Regional context,Lead Author,Won-Tae Kwon,National Institute of Meteorological Research,Republic of Korea
Chapter 21,Regional context,Lead Author,Linda Mearns,National Center for Atmospheric Research,United States
Chapter 21,Regional context,Lead Author,Lisa Schipper,Stockholm Environment Institute,Sweden
Chapter 21,Regional context,Lead Author,Maarten van Aalst,Red Cross / Red Crescent Climate Centre,Netherlands
,,,,,
Chapter 21,Regional context,Review Editor,Tom Downing,Global Climate Adaptation Partnership,United States
Chapter 21,Regional context,Review Editor,Phil Duffy,Lawrence Livermore National Laboratory,United States
,,,,,
Chapter 21,Regional context,Volunteer Chapter Scientist,Kristin Kuntz-Duriseti,Woods Institute for the Environment,United States
,,,,,
Chapter 21,Regional context,Contributing Author,Eren Bilir,,United States
Chapter 21,Regional context,Contributing Author,Monalisa Chatterjee,,United States / India
Chapter 21,Regional context,Contributing Author,Katharine Mach,,United States
Chapter 21,Regional context,Contributing Author,Carol McSweeney,,United Kingdom
Chapter 21,Regional context,Contributing Author,Grace Redmond,,United Kingdom
Chapter 21,Regional context,Contributing Author,Vanessa Schweizer,,United States
Chapter 21,Regional context,Contributing Author,Claire van Wyk,,South Africa
Chapter 21,Regional context,Contributing Author,Luke Wirth,,United States
