Chapter,Role,Name (Country)
Hydropower,Coordinating Lead Author,Arun Kumar (India)
Hydropower,Coordinating Lead Author,Tormod Schei (Norway)
,,
Hydropower,Lead Author,Alfred Ahenkorah (Ghana)
Hydropower,Lead Author,Rodolfo Caceres Rodriguez (El Salvador)
Hydropower,Lead Author,Jean-Michel Devernay (France)
Hydropower,Lead Author,Marcos Freitas (Brazil)
Hydropower,Lead Author,Douglas Hall (USA)
Hydropower,Lead Author,Ånund Killingtveit (Norway)
Hydropower,Lead Author,Zhiyu Liu (China)
,,
Hydropower,Contributing Author,Emmanuel Branche (France)
Hydropower,Contributing Author,John Burkhardt (USA)
Hydropower,Contributing Author,Stephan Descloux (France)
Hydropower,Contributing Author,Garvin Heath (USA)
Hydropower,Contributing Author,Karin Seelos (Norway)
,,
Hydropower,Review Editor,Cristobal Diaz Morejon (Cuba)
Hydropower,Review Editor,Thelma Krug (Brazil)
