#,Chapter,Role,Name (Country)
10,Key Economic Sectors and Services Supplementary Material,Coordinating Lead Author,Douglas J. Arent (USA)
10,Key Economic Sectors and Services Supplementary Material,Coordinating Lead Author,Richard S.J. Tol (UK)
,,,
10,Key Economic Sectors and Services Supplementary Material,Lead Author,Eberhard Faust (Germany)
10,Key Economic Sectors and Services Supplementary Material,Lead Author,Joseph P.  Hella (Tanzania)
10,Key Economic Sectors and Services Supplementary Material,Lead Author,Surender Kumar (India)
10,Key Economic Sectors and Services Supplementary Material,Lead Author,Kenneth M. Strzepek (UNU/USA)
10,Key Economic Sectors and Services Supplementary Material,Lead Author,Ferenc L. Tóth (IAEA/Hungary)
10,Key Economic Sectors and Services Supplementary Material,Lead Author,Denghua Yan (China)
,,,
10,Key Economic Sectors and Services Supplementary Material,Contributing Author,Francesco Bosello (Italy)
10,Key Economic Sectors and Services Supplementary Material,Contributing Author,Paul Chinowsky (USA)
10,Key Economic Sectors and Services Supplementary Material,Contributing Author,Kristie L. Ebi (USA)
10,Key Economic Sectors and Services Supplementary Material,Contributing Author,Stephane Hallegatte (France)
10,Key Economic Sectors and Services Supplementary Material,Contributing Author,Robert Kopp (USA)
10,Key Economic Sectors and Services Supplementary Material,Contributing Author,Simone Ruiz Fernandez (Germany)
10,Key Economic Sectors and Services Supplementary Material,Contributing Author,Armin Sandhoevel (Germany)
10,Key Economic Sectors and Services Supplementary Material,Contributing Author,Philip Ward (Netherlands)
10,Key Economic Sectors and Services Supplementary Material,Contributing Author,Eric Williams (IAEA/USA)
,,,
10,Key Economic Sectors and Services Supplementary Material,Review Editor,Amjad Abdulla (Maldives)
10,Key Economic Sectors and Services Supplementary Material,Review Editor,Haroon Kheshgi (USA)
10,Key Economic Sectors and Services Supplementary Material,Review Editor,He Xu (China)
,,,
10,Key Economic Sectors and Services Supplementary Material,Volunteer Chapter Scientist,Julius Ngeh (Cameroon)
