Chapter,Role,Name (Country)
"Policies, Measures and Instruments",Coordinating Lead Author,Igor Alexeyevich Bashmakov (Russian Federation)
"Policies, Measures and Instruments",Coordinating Lead Author,Catrinus J. Jepma (The Netherlands)
,,
"Policies, Measures and Instruments",Lead Author,P. Bohm (Sweden)
"Policies, Measures and Instruments",Lead Author,Shreekant Gupta (India)
"Policies, Measures and Instruments",Lead Author,Erik Haites (Canada)
"Policies, Measures and Instruments",Lead Author,Thomas C. Heller (USA)
"Policies, Measures and Instruments",Lead Author,J.P. Montero (Chile)
"Policies, Measures and Instruments",Lead Author,Alberto Pasco-Font (Peru)
"Policies, Measures and Instruments",Lead Author,Robert N. Stavins (USA)
"Policies, Measures and Instruments",Lead Author,J. Turkson (N/A)
"Policies, Measures and Instruments",Lead Author,Huaqing Xu (China)
"Policies, Measures and Instruments",Lead Author,Mitsutsune Yamaguchi (Japan)
,,
"Policies, Measures and Instruments",Contributing Author,Scott Barrett (United Kingdom)
"Policies, Measures and Instruments",Contributing Author,Andrew Dearing (Switzerland)
"Policies, Measures and Instruments",Contributing Author,Bouwe Dijkstra (Germany)
"Policies, Measures and Instruments",Contributing Author,E. Holt (USA)
"Policies, Measures and Instruments",Contributing Author,Nathaniel Keohane (USA)
"Policies, Measures and Instruments",Contributing Author,Shinya Murase (Japan)
"Policies, Measures and Instruments",Contributing Author,Toshio Nakada (N/A)
"Policies, Measures and Instruments",Contributing Author,William A. Pizer (USA)
"Policies, Measures and Instruments",Contributing Author,Farhana Yamin (United Kingdom)
,,
"Policies, Measures and Instruments",Review Editor,Dilip Ahuja (India)
"Policies, Measures and Instruments",Review Editor,P. Wilcoxen (USA)
