"Role","Name (Country)"
"Edited by","LEONARD A. NURSE (BARBADOS) "
"Edited by","ROGER F. McLEAN (AUSTRALIA) "
"Edited by","AVELINO G. SUAREZ (CUBA) "
,
"Contributor","M. Ali (Maldives) "
"Contributor","J. Hay (New Zealand) "
"Contributor","G. Maul (USA) "
"Contributor","G. Sem (Papua New Guinea) "
