"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Bulgaria","BGR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","983","","","","1079","1158","1125","1089","1219","1216","1169","1218","1380","1024","958.6","954.1","985.4","929","867.3","909.3","746.7","814.8","774.7","807.8","766.5","766.8","801.4","761.4","735.4","675","650.3","","",
"Bahrain","BHR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","24","19","31","53","46","41","34","35","44","42.2","36.8","36.2","30.4","34.9","21","24.8","20.4","38.2","35.5","33.3","40.9","48.3","43.4","35.8","42.1","39.9","","",
"Bahamas, The","BHS","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","4","3","1","0","2","1","1","1.3","1.7","0.8","1.4","1.2","2.5","3.1","2","2.8","1.4","1.6","1.3","4.6","3.1","2.5","2.8","2.5","","",
"Bosnia and Herzegovina","BIH","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","0","","","","0","0","0","0","0","0","0","0","14","11","10.2","6.6","10.7","13","9.5","9.6","16.8","9.1","18.5","14","26.1","29.5","53.7","41","63.8","68.2","54.1","","",
"Belarus","BLR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","30","708","1021","650.2","567.8","596.3","583.4","578.6","572.3","502.7","492.3","520.6","496.8","490.6","446.7","411.5","387","380.2","335.2","341.6","","",
"Belize","BLZ","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","2","0","1","2","2","1","2.3","1.3","3.7","0.8","2.5","0.3","1.7","0.9","1.6","1","3","2.9","1.1","1.9","2","2.8","2.5","","",
"Bermuda","BMU","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","5","11","8","14","17","11","15","23","24","23.9","21.3","34.7","28.2","40.7","29.1","28.9","33.2","38.8","31.7","39","43.1","50.6","49.6","45.2","42.5","46.9","","",
"Brazil","BRA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","1438","","","","1465","1777","1766","1766","2117","2374","2640","3107","2885","3073","3436.1","3813.4","4497.6","5234.1","5859.3","6407.3","7052.3","7881.1","8330.2","9573","9896.7","10799.5","11890.8","12909.3","12307.3","12529.5","13148.1","","",
"Barbados","BRB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","20","19","19","17","15","13","18","14","19","16.5","11.4","16.4","15.3","13.5","14.2","22.3","20.1","26.8","29.2","17.6","19.8","15","21.4","12.6","12.9","16.3","","",
