Country,Name,Institution
UNITED KINGDOM,I. Hughes,Coal Research Establishment
,,
UNITED KINGDOM,M. Jefferson,World Energy Council
UNITED KINGDOM,A. McCulloch,ICI Chemicals and Polymers Limited
UNITED KINGDOM,S. Mansoob Murshed,Northern Ireland Economic Research Centre
UNITED KINGDOM,J. Penman,UK Department of Environment
UNITED KINGDOM,F. Yamin,Foundation for International Environmental Law and Development
,,
UNITED STATES,J. Ausubel,Rockefeller University
UNITED STATES,R. Beck,Edison Electric Institute
UNITED STATES,R. Borgwardt,U.S. Environmental Protection Agency
UNITED STATES,J. Byrne,University of Delaware
UNITED STATES,W.T. Christian,ARCO
UNITED STATES,R. Engelman,Population Action International
UNITED STATES,B. Flannery,Exxon Research and Engineering Company
UNITED STATES,R. Ford,Westminster College
UNITED STATES,D. Hall,California State University
UNITED STATES,W. Harrison,
UNITED STATES,D. Hill,"Douglas Hill, P.E., P.C."
UNITED STATES,C. Holmes,National Mining Association
UNITED STATES,R.O. Jones,American Petroleum Institute
UNITED STATES,W. Kempton,University of Delaware
UNITED STATES,L. Kozak,Southern Company Services Inc.
UNITED STATES,N. Leary,U.S. Environmental Protection Agency
UNITED STATES,G. Marland,Oak Ridge National Laboratory
UNITED STATES,R. Mendelsohn,Yale University
UNITED STATES,A. Miller,University of Maryland
UNITED STATES,A. Olende,United Nations (DPCSD)
UNITED STATES,D. Pearlman,The Climate Council
UNITED STATES,R. Promboin,Amoco Corporation
UNITED STATES,R. Schmalensee,Massachusetts Institute of Technology
UNITED STATES,D. Shelor,Department of Energy
UNITED STATES,J. Shlaes,Global Climate Coalition
UNITED STATES,T. Siddiqi,East-West Center
UNITED STATES,D. Spencer,Simteche
UNITED STATES,J. de Steiguer,U.S. Forest Service
UNITED STATES,M. Steinberg,Brookhaven National Laboratory
UNITED STATES,T. Teisberg,Teisberg Associates
UNITED STATES,S. Vavrik,Yale Law School
UNITED STATES,G. Yohe,Wesleyan University
,,
VENEZUELA,L. Perez,Ministerio de Energia y Minas
,,
VIET NAM,N. Thi Loc,Hydrometeorological Service
VIET NAM,N. Van Hai,Hydrometeorological Services
,,
YUGOSLAVIA,R. Pesic,University of Belgrade
